integration_dfb,batch,apa,pde,excluded_channels
0.7,7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10943, 10944, 10946, 10931, 10912]"
0.7,7,3,0.45,[11131]
0.7,7,4,0.45,"[11211, 11305, 11307, 11222, 11233]"
0.8,1,1,0.45,"[10512, 10710]"
0.8,1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10933, 10946]"
0.8,1,3,0.45,[11131]
0.8,1,4,0.45,"[11233, 11300, 11305, 11211, 11307, 11222]"
0.8,2,1,0.45,"[10512, 10700, 10702, 10705, 10707, 10710, 10712, 10715, 10717, 10413]"
0.8,2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.8,2,3,0.45,[11131]
0.8,2,4,0.45,"[11307, 11211, 11233, 11300, 11222]"
0.8,3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.8,3,3,0.45,[11131]
0.8,3,4,0.45,"[11233, 11211, 11222]"
0.8,4,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.8,4,2,0.45,"[10933, 10913, 10914, 10916, 10917, 10910, 10911]"
0.8,4,3,0.45,[11131]
0.8,4,4,0.45,"[11211, 11300]"
0.8,5,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.8,5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10933]"
0.8,5,3,0.45,"[11131, 11115]"
0.8,5,4,0.45,"[11211, 11305, 11222, 11233]"
0.8,6,3,0.45,"[11131, 11115]"
0.8,6,4,0.45,"[11211, 11305, 11307, 11222, 11233]"
0.8,7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10943, 10944, 10946, 10931, 10912]"
0.8,7,3,0.45,[11131]
0.8,7,4,0.45,"[11211, 11305, 11307, 11222, 11233, 11300]"
